Study	n_PD	n_HC	PD_mean_CCB	HC_mean_CCB	PD_median_CCB	HC_median_CCB	PD_minus_HC_mean	PD_minus_HC_median	cliffs_delta	mannwhitney_p	direction_mean	direction_median
Bedarf_2017	31	28	0.004205732343928769	0.009141209591008854	0.0002346499804458	0.0007125118161756499	-0.0049354772470800844	-0.0004778618357298499	-0.23963133640552994	0.11614510633854062	PD<=HC	PD<=HC
Boktor_1_2023	46	67	0.0038386255361037938	0.000580796231926997	0.0004280740558255	0.0	0.003257829304176797	0.0004280740558255	0.28423101881894874	0.007294642158031611	PD>HC	PD>HC
Boktor_2_2023	42	72	0.009057785760475579	0.013109025844842024	0.0016419320911712	0.0012814581621226001	-0.0040512400843664455	0.0003604739290485998	0.13095238095238096	0.2455481674818919	PD<=HC	PD>HC
Jo_2022	82	74	0.027589174249225374	0.01345583828622689	0.0016570677376272001	0.0005915188262336499	0.014133335962998483	0.0010655489113935502	0.24291364535266974	0.008931552856991539	PD>HC	PD>HC
Mao_2021	39	39	0.02369171978392033	0.0181719880199455	0.005224409080584	0.0072206820965765	0.005519731763974831	-0.0019962730159925005	0.1452991452991453	0.27164945327288104	PD>HC	PD<=HC
Qian_2020	40	40	0.01011973919999791	0.009250557957843247	0.0006256754932982499	0.0013133656399879	0.0008691812421546628	-0.0006876901466896501	-0.125	0.33834562249096867	PD>HC	PD<=HC
