removed_study	n_samples	n_PD	n_HC	PD_mean_CCB	HC_mean_CCB	PD_median_CCB	HC_median_CCB	PD_minus_HC_mean	PD_minus_HC_median	mannwhitney_p	direction_mean	direction_median
NONE	600	280	320	0.015280215740256536	0.010353684253713677	0.0009723175474719	0.0005973792394655	0.0049265314865428594	0.0003749383080063999	0.003624426519211219	PD>HC	PD>HC
Bedarf_2017	541	249	292	0.016658966685180878	0.010469948947397702	0.0012690355329949	0.00059402826171105	0.006189017737783176	0.0006750072712838499	0.0002888281632806479	PD>HC	PD>HC
Boktor_1_2023	487	234	253	0.01752941723338058	0.01294176131877181	0.00156916910977345	0.0013479107383554	0.00458765591460877	0.00022125837141804996	0.11481494307845526	PD>HC	PD>HC
Boktor_2_2023	486	238	248	0.016378291619041415	0.009553746372418351	0.0008632432013543001	0.0005065813091367	0.0068245452466230636	0.0003566618922176	0.005043007695831422	PD>HC	PD>HC
Jo_2022	444	198	246	0.01018256625674419	0.009420515967510517	0.0009070520520355	0.00061261215029975	0.0007620502892336737	0.00029443990173575005	0.07760675633731656	PD>HC	PD>HC
Mao_2021	522	241	281	0.013919017990452021	0.009268581595766913	0.0008077544426494	0.0005335467520341	0.004650436394685108	0.0002742076906153	0.010579181968617514	PD>HC	PD>HC
Qian_2020	520	240	280	0.016140295163632978	0.01051127372455231	0.0010781451169433	0.0005802157180137	0.005629021439080667	0.0004979293989296001	0.0006589098273859732	PD>HC	PD>HC
