n_samples	n_PD	n_HC	n_matched_curli_taxa	PD_mean_CCB	HC_mean_CCB	PD_median_CCB	HC_median_CCB	effect_direction_mean	effect_direction_median	mannwhitney_p	p_class	cliffs_delta	effect_class	compatibility_class	sample_size_class	direction_points_0_4	p_points_0_2	effect_points_0_2	compatibility_points_0_1	sample_points_0_1	descriptive_evidence_score_0_10	cohort_evidence_class	cohort	source_file
724	490	234	31	1.8088186428571429	1.3936804273504273	0.06823	0.01936	PD>HC	PD>HC		not_available		not_available	high	large	4	0	0.0	1	1.0	6.0	directionally_consistent_support	Wallen_2022	data/phase2p/reports/phase2p_cross_cohort_evidence_table.tsv
244	95	149	18	1.999244842105263	1.8163422818791943	0.12483	0.0	PD>HC	PD>HC		not_available		not_available	high	large	4	0	0.0	1	1.0	6.0	directionally_consistent_support	Integrated_US_multicohort	data/phase2p/reports/phase2p_cross_cohort_evidence_table.tsv
78	39	39	17	6.876600256410256	4.56341717948718	2.08095	1.7096	PD>HC	PD>HC		not_available		not_available	high	small	4	0	0.0	1	0.5	5.5	directionally_consistent_support	Mao_2021_Central_China	data/phase2p/reports/phase2p_cross_cohort_evidence_table.tsv
600	280	320	29	0.0152802157402565	0.0103536842537136	0.0009723175474719	0.0005973792394655	PD>HC	PD>HC		not_available		not_available	high	large	4	0	0.0	1	1.0	6.0	directionally_consistent_support	Romano_nonWallen	data/phase2p/reports/phase2p_cross_cohort_evidence_table.tsv
134	68	66	42	1.18173761670171	1.1663082786974774	0.1546256682939892	0.0353087357913469	PD>HC	PD>HC	0.3068629731125556	not_significant	0.1024955436720142	very_small	high	moderate	4	0	0.5	1	0.75	6.25	directionally_consistent_support	DuruIC_2024	data/phase2u/reports/phase2u_duru_ccb_test_summary.tsv
