dataset_id	phase	dataset_role	analysis_set	n_samples	n_PD	n_HC	n_controls	n_studies	candidate_source	n_matched_curli_taxa	PD_mean_CCB	HC_mean_CCB	PD_median_CCB	HC_median_CCB	effect_direction_mean	effect_direction_median	primary_p_value	primary_p_value_type	cohort_or_study_aware_p_value	cohort_or_study_aware_p_value_type	effect_size	effect_size_type	robustness_summary	final_evidence_tier	decision	source_files_used	missing_files	notes
WALLEN_DISCOVERY	Phase 2D	discovery	not_available	724	490	234	234	not_available	not_available	31	1.8088186428571427	1.3936804273504273	0.06823	0.01936	PD>HC	PD>HC	0.0020425812588805	mannwhitney_raw_burden	not_available	not_available	1.1972999091953431	adjusted_log1p_odds_ratio	discovery_only_not_independent_replication	DISCOVERY_EVIDENCE	DISCOVERY_PD_ENRICHED_SIGNAL	results/phase2d_wallen_discovery/wallen_curli_burden_statistics.tsv;results/phase2d_wallen_discovery/wallen_curli_carrier_burden.tsv;results/phase2d_wallen_discovery/wallen_curli_burden_species_set.tsv		
INTEGRATED_US_MULTICOHORT_PD	Phase 2F	independent_replication	not_available	244	95	149	149	not_available	not_available	18	1.999244842105263	1.8163422818791946	0.12483	0.0	PD>HC	PD>HC	0.0078586568327001	mannwhitney_raw_burden	not_available	not_available	1.5312495815923342	adjusted_log1p_odds_ratio	significant_adjusted_and_presence_models; no cohort-aware test available	SUPPORTIVE_REPLICATION	REPLICATED_DIRECTIONALLY_AND_STATISTICALLY	results/phase2f_integrated_us_replication/integrated_us_curli_replication_statistics.tsv;results/phase2f_integrated_us_replication/integrated_us_curli_carrier_burden.tsv;results/phase2f_integrated_us_replication/integrated_us_curli_burden_species_set.tsv		
MAO_CENTRAL_CHINA_PD	Phase 2I	external_replication	not_available	78	39	39	39	not_available	not_available	17	6.876600256410256	4.56341717948718	2.08095	1.7096	PD>HC	PD>HC	0.2673157261009294	mannwhitney_raw_burden	not_available	not_available	1.2559483939035776	unadjusted_log1p_odds_ratio	directionally_consistent_but_statistically_non_significant	DIRECTIONAL_SUPPORT_NOT_SIGNIFICANT	DIRECTIONALLY_CONSISTENT_BUT_NOT_SIGNIFICANT	results/phase2i_mao_replication/mao_curli_replication_statistics.tsv;results/phase2i_mao_replication/mao_curli_carrier_burden.tsv;results/phase2i_mao_replication/mao_curli_burden_species_set.tsv		
ROMANO_NONWALLEN	Phase 2O	external_replication_nonwallen	Romano_nonWallen_600	600	280	320	320	6	data/000_phase2o_curli_reference/000_curli_candidate_species.tsv	29	0.0152802157402565	0.0103536842537136	0.0009723175474719	0.0005973792394655	PD>HC	PD>HC	0.0036244265192112	pooled_mannwhitney	0.1973605278944211	study_stratified_permutation	0.1373995535714285	cliffs_delta	leave-one-study-out PD>HC by mean and median; within-study heterogeneous; study-stratified permutation non-significant	WEAK_COHORT_SENSITIVE_SUPPORT	WEAK_COHORT_SENSITIVE_SUPPORT_NOT_DEFINITIVE_REPLICATION	data/phase2o/reports/phase2o_romano_nonwallen_ccb_test_summary.tsv;data/phase2o/reports/phase2o_romano_nonwallen_ccb_matched_taxa.tsv;data/phase2o/reports/phase2o_romano_nonwallen_ccb_sample_burden.tsv;data/phase2o/reports/phase2o_romano_leave_one_study_out_ccb.tsv;data/phase2o/reports/phase2o_romano_within_study_ccb_effects.tsv;data/phase2o/reports/phase2o_romano_final_decision_report.txt		
